,drug_name,condition,rating,useful_count,nltkReviewScore
268,1470,651,2,4,-0.7096
269,908,212,6,34,-0.2795
270,34,466,9,102,0.4986
271,1733,631,10,15,-0.1843
272,2365,355,10,3,-0.886
273,143,355,1,29,-0.8834
274,349,440,10,96,0.8573
275,1290,279,10,29,-0.5267
276,428,247,8,0,0.7096
277,752,47,9,35,0.0772
278,66,665,8,7,0.6205
279,394,212,10,13,0.6971
280,387,440,8,33,0.816
281,966,651,10,25,0.2905
282,1868,74,10,9,-0.0314
283,582,440,8,0,0.8126
284,16,47,8,17,0.6124
285,2408,466,10,14,0.2023
286,2385,212,10,68,0.8209
287,1785,236,5,6,-0.8481
288,35,162,6,0,0.7096
289,1287,121,4,3,-0.8461
290,1502,651,8,4,0.6672
291,889,121,2,5,-0.9538
292,1812,552,9,28,-0.4588
293,889,121,1,24,-0.9124
294,169,329,5,41,0.6705
295,889,121,7,7,0.6597
296,2385,212,1,5,0
297,889,47,9,6,0.9581
298,1604,646,10,6,-0.8316
299,1464,200,5,22,-0.8715
300,2475,120,1,10,-0.975
301,21,282,9,0,-0.9153
302,1556,480,7,6,0.4019
303,1408,121,8,1,0.9356
304,1637,320,3,13,-0.5489
305,1516,134,6,7,0.0772
306,1441,162,9,53,-0.8271
307,456,466,10,105,0.4621
308,210,397,10,21,0
309,1509,60,2,17,0.0516
310,2006,669,1,12,-0.7717
311,229,42,9,23,-0.3057
312,861,201,8,376,0.9792
313,752,47,9,3,-0.4019
314,1266,120,3,25,-0.7249
315,168,129,6,40,-0.8
316,1310,355,10,128,-0.7842
317,1775,590,6,7,-0.8622
318,1587,121,2,13,-0.3642
319,773,82,1,27,-0.9729
320,1389,126,9,73,0.9136
321,933,466,9,39,-0.2094
322,1494,82,10,58,-0.7884
323,119,82,10,46,-0.9831
324,2365,201,1,14,0
325,1287,238,10,19,-0.9778
326,1256,111,10,20,-0.5256
327,1320,440,7,21,0.891
328,1560,201,10,47,-0.7287
329,1482,679,2,29,-0.4854
330,1268,290,9,18,0.8176
331,1712,466,8,14,-0.0351
332,2212,329,1,7,0
333,18,467,10,9,-0.5423
334,2486,201,10,88,-0.9763
335,270,134,10,34,0.2547
336,1365,649,1,12,-0.711
337,886,121,3,3,0.5574
338,1288,121,9,1,-0.2315
339,893,121,8,5,0.4721
340,1727,121,9,12,0.7538
341,1278,646,9,92,-0.4199
342,888,121,5,4,0.1486
343,508,225,8,78,-0.6523
344,2021,440,2,12,-0.4197
345,250,579,3,17,-0.0489
346,2025,121,4,4,0.5994
347,46,651,10,0,0.9337
348,582,440,9,40,0.9481
349,1436,495,10,24,0.2247
350,2205,651,1,3,-0.891
351,1794,238,10,15,0.9684
352,886,121,9,5,0.5719
353,1287,121,10,2,-0.1776
354,2015,120,7,7,0.8779
355,241,579,8,76,-0.2462
356,657,121,2,2,0
357,1295,82,1,25,-0.9571
358,2170,343,10,2,-0.25
359,2041,441,9,5,-0.8176
360,2263,201,10,63,0.7906
361,1819,303,6,2,0.5927
362,2170,343,10,5,0.3612
363,1317,334,9,169,0.9514
364,2039,263,8,215,0.4926
365,1727,121,10,14,0.9136
366,498,248,2,34,0.842
367,1587,121,1,2,-0.296
368,2203,445,10,151,0.4588
369,1268,290,10,41,0
370,768,212,8,13,-0.6133
371,2346,408,9,52,-0.9198
372,893,121,9,5,0.8583
373,1494,82,10,51,0.7089
374,160,42,10,1,0.7964
375,1615,466,10,19,-0.3612
376,886,121,2,7,-0.8966
377,1276,242,8,32,-0.8979
378,1889,665,10,61,-0.0516
379,1860,525,4,8,-0.5267
380,576,42,10,43,-0.3928
381,1639,121,8,22,0.927
382,160,42,9,10,0.0516
383,2118,42,3,8,0.9423
384,1287,121,7,1,-0.9743
385,387,440,9,37,0.836
386,1204,121,9,10,0.6401
387,848,47,10,14,-0.7825
388,2096,290,10,36,-0.5574
389,1615,3,9,11,-0.765
390,2041,83,10,100,-0.6327
391,1534,256,10,16,0
392,657,121,10,5,-0.743
393,1408,45,7,41,-0.3071
394,2172,116,8,9,0.6249
395,2277,47,3,2,-0.2939
396,1053,242,2,13,-0.9044
397,1587,121,10,5,0.7988
398,1894,120,10,30,-0.807
399,2210,329,7,22,0.0754
400,819,421,10,1,0.6864
401,1457,201,10,54,-0.802
402,2246,679,1,42,-0.6582
403,861,201,10,81,-0.9169
404,56,294,10,36,-0.3612
405,1314,177,3,22,-0.6597
406,1889,665,1,59,-0.8591
407,1689,456,8,30,0.4692
408,2048,116,1,10,-0.9212
409,144,345,1,15,0.4404
410,1459,261,1,15,-0.5106
411,1160,273,7,7,-0.5843
412,585,121,9,10,-0.9196
413,1406,402,10,54,0.5696
414,1549,449,10,88,-0.9164
415,2132,646,1,0,-0.8945
416,1032,406,10,93,0.7891
417,144,398,9,36,-0.1082
418,386,201,8,46,0.5778
419,657,45,7,92,0.4926
420,1470,651,9,15,0.4363
421,1254,120,8,16,0.7708
422,1474,121,4,16,0.5574
423,1604,646,7,2,-0.4404
424,1230,470,10,93,-0.9081
425,861,82,10,25,0.8257
426,893,121,4,1,-0.4199
427,1604,646,9,27,-0.3725
428,554,180,1,6,0.128
429,1494,345,8,37,0.1343
430,1973,397,10,4,0.886
431,889,121,1,10,-0.7901
432,908,212,10,33,-0.7717
433,848,47,10,19,-0.6219
434,510,83,9,153,-0.6478
435,558,182,10,5,-0.25
436,1314,177,8,22,0.7128
437,950,282,10,12,-0.296
438,799,82,4,5,0.4215
439,762,121,9,0,-0.4574
440,893,121,8,1,0.2597
441,387,440,10,14,0.4019
442,1230,470,10,73,-0.886
443,2487,345,8,5,0.4927
444,2420,201,6,42,-0.4019
445,1460,303,10,55,0.25
446,540,82,10,261,0.4767
447,525,502,3,4,-0.128
448,1295,201,9,46,0.9442
449,1894,345,9,60,0.8906
450,888,121,10,4,0.8024
451,193,100,10,141,0.8225
452,769,175,10,16,-0.8036
453,1152,121,3,1,0.1779
454,518,461,10,16,0.8904
455,773,162,7,29,-0.4767
456,279,643,10,14,0.7549
457,2358,587,10,26,0.9241
458,1636,121,10,37,0.6808
459,886,121,7,0,0.6705
460,279,646,3,10,0.4389
461,157,643,3,22,-0.0847
462,1306,121,6,2,0.7096
463,1287,238,9,35,0.7164
464,2241,464,1,29,-0.7154
465,972,679,7,54,-0.8402
466,1587,121,5,10,0.4404
467,1220,574,10,77,0.875
468,1116,82,7,38,-0.6705
469,343,121,6,3,-0.5106
470,1906,345,1,5,-0.6445
471,527,601,1,4,-0.3818
472,1441,162,7,15,0
473,1161,536,10,20,-0.204
474,1902,249,10,43,0.6808
475,680,256,4,71,-0.8024
476,1846,201,1,12,-0.9485
477,2039,120,9,1,0.8922
478,1148,355,10,15,0.2434
479,1632,466,9,29,-0.0516
480,1127,466,1,0,-0.0387
481,1460,510,9,24,-0.5859
482,1726,595,1,1,-0.9438
483,2104,160,10,3,-0.955
484,1287,238,10,9,0.8316
485,2275,47,3,10,-0.2732
486,2480,418,10,13,-0.3164
487,2373,374,1,16,0.7727
488,1794,238,9,2,-0.5994
489,506,646,10,69,-0.555
490,1287,238,10,3,-0.9862
491,2486,201,10,179,-0.9468
492,1379,162,8,67,-0.886
493,752,557,10,28,0.6467
494,255,406,8,30,0.128
495,2068,121,4,6,-0.7845
496,1710,466,9,8,-0.1531
497,1794,238,3,26,0.3542
498,984,42,8,51,-0.1243
499,886,121,8,6,0.8869
500,1332,121,9,0,0.5994
501,2041,201,6,25,-0.9776
502,888,121,10,14,0.3899
503,576,42,7,21,-0.3915
504,1209,121,10,13,0.9715
505,1287,45,9,112,0.6722
506,119,82,10,134,-0.981
507,1142,77,10,141,-0.9311
508,2427,470,9,122,0.4404
509,694,82,9,68,-0.9551
510,336,175,6,6,0.8225
511,1470,651,1,7,-0.9136
512,861,263,3,7,-0.9458
513,1622,0,2,0,-0.9114
514,1510,162,10,43,-0.1531
515,1332,121,5,3,-0.6597
516,2144,345,1,24,0.8462
517,1457,42,9,122,0.9485
518,908,212,1,29,-0.971
519,1965,471,4,6,-0.2862
520,540,470,7,24,-0.9413
521,1587,121,9,5,0.8583
522,2103,121,9,27,0.9225
523,2377,355,5,15,-0.5106
524,2103,121,10,8,-0.6866
525,1962,471,1,11,-0.2732
526,1639,121,9,3,0.765
527,157,108,2,7,0.5423
528,886,121,6,3,0.813
529,1320,440,10,14,0.9341
530,887,121,1,6,-0.7096
531,1794,238,5,5,0.3348
532,2056,554,8,61,0.4588
533,250,527,10,131,-0.7964
534,896,456,2,8,0.4033
535,699,466,9,17,0.926
536,1002,82,10,118,0.5574
537,717,418,9,62,0.1082
538,315,252,3,48,0
539,387,440,6,11,-0.4939
540,1686,121,10,13,0.8718
541,2025,121,8,6,-0.3774
542,1133,466,6,13,-0.9403
543,2137,397,1,9,-0.9637
544,1493,121,1,20,-0.9705
545,1802,175,10,58,-0.9079
546,888,121,1,7,0.2023
547,35,466,10,1,-0.6705
548,1209,121,1,9,-0.1556
549,1870,683,10,38,0.6318
550,1332,0,7,0,0.5879
551,2434,440,8,20,0.2782
552,1035,406,1,29,-0.9403
553,456,466,9,119,0.3687
554,224,82,8,60,-0.0516
555,540,433,5,9,-0.9834
556,769,175,5,1,-0.1531
557,1681,121,8,2,-0.2944
558,102,305,8,46,0.228
559,888,121,3,5,-0.8251
560,1441,162,10,83,-0.7556
561,888,121,2,5,0.5411
562,1587,121,7,6,0.7901
563,2365,201,9,1,-0.2263
564,2121,74,1,6,0
565,1287,45,8,6,-0.9321
566,2290,385,10,67,-0.9478
567,2103,121,6,0,-0.5859
568,1686,0,9,0,0.818
569,2391,201,9,38,0.6981
570,2358,587,10,1,0.7096
571,615,82,1,27,-0.9729
572,885,121,5,9,-0.9081
573,428,247,9,2,-0.5859
574,279,108,7,24,-0.2732
575,2513,502,10,42,-0.9457
576,1889,665,10,21,0.899
577,336,175,5,4,-0.9382
578,1348,466,7,26,-0.296
579,582,665,4,7,-0.5664
580,885,121,6,0,-0.2023
581,1464,108,1,20,-0.6369
582,1287,238,10,0,-0.4184
583,1067,418,2,3,-0.8479
584,2174,466,9,30,0.3549
585,752,155,9,2,0
586,1328,121,4,14,-0.4215
587,1227,466,10,9,-0.8356
588,1776,665,10,57,0.5788
589,2132,646,10,4,0.7184
590,798,201,9,22,0.5267
591,1457,42,10,72,0.9345
592,893,121,10,5,0.9231
593,1933,591,10,2,-0.9231
594,1464,165,6,13,-0.8979
595,960,679,8,42,0
596,2002,643,8,25,0.7964
597,388,82,1,23,-0.8326
598,781,116,6,42,0.0772
599,16,47,9,25,0.8796
600,2220,641,5,35,-0.933
601,1113,208,10,36,0.4588
602,1667,466,10,14,-0.784
603,2508,201,7,83,0.9324
604,1850,133,1,3,-0.6075
605,2362,182,8,18,-0.8271
606,1328,121,8,7,0.774
607,2365,201,1,10,-0.9485
608,1868,74,10,13,0.7469
609,467,587,10,16,-0.872
610,2122,449,9,72,0.6697
611,2263,679,9,44,0.4199
612,2487,345,6,35,0.8957
613,1491,552,10,82,-0.738
614,2333,646,5,3,-0.9501
615,2380,416,1,1,-0.8519
616,278,646,3,22,-0.6486
617,888,121,1,3,-0.7489
618,658,121,2,1,0.3612
619,1870,115,8,33,-0.6705
620,453,108,10,12,0.4588
621,1908,76,10,22,-0.3182
622,893,121,5,1,0.695
623,16,47,8,23,-0.7984
624,773,679,1,17,-0.659
625,2122,449,10,39,0.9413
626,2021,440,5,2,-0.0314
627,2277,121,1,5,-0.9753
628,2298,212,3,17,0.2801
629,1763,466,10,37,-0.9248
630,1192,47,7,8,0.8977
631,1287,238,9,4,-0.848
632,2064,212,10,43,-0.743
633,989,690,9,3,0.5255
634,2132,646,1,1,-0.9485
635,2420,385,9,159,-0.8818
636,1710,466,10,74,-0.8807
637,888,121,1,4,0.2732
638,2365,201,10,39,-0.0026
639,615,201,9,19,-0.0323
640,752,47,10,10,-0.6124
641,669,201,3,13,-0.4215
642,384,466,10,54,0.0516
643,1777,665,10,104,0.4318
644,134,345,10,72,-0.3182
645,294,665,8,38,-0.3591
646,1943,339,8,7,-0.0387
647,1113,554,1,111,-0.5267
648,886,121,7,3,0.3438
649,707,651,10,114,0.6249
650,2390,174,7,1,-0.5562
651,1280,247,7,3,-0.802
652,1470,651,1,4,-0.5121
653,1493,45,10,7,0.1774
654,2449,121,9,16,-0.3455
655,1776,665,10,17,-0.296
656,810,236,6,41,0.5423
657,498,248,10,79,0.9617
658,6,499,8,11,0.6249
659,799,201,9,8,0.7708
660,893,121,8,3,-0.3989
661,641,42,9,24,-0.555
662,773,201,10,27,0.2263
663,647,180,8,4,0
664,277,58,10,58,0.4912
665,1322,303,7,26,-0.7964
666,1069,535,10,2,-0.8205
667,2349,167,10,11,0
668,266,60,10,9,-0.6366
669,294,665,1,24,0.5889
670,764,313,10,63,0.6507
671,1794,238,8,25,-0.5411
672,1367,120,5,52,-0.6495
673,1782,175,8,40,-0.4559
674,1310,177,1,26,-0.4588
675,88,14,5,1,-0.8415
676,773,201,10,32,-0.4514
677,503,79,10,7,0.9147
678,1950,201,10,45,-0.0772
679,1857,288,10,6,-0.5423
680,2486,201,10,102,-0.9601
681,1220,574,10,63,-0.128
682,111,6,9,142,0.0516
683,1310,177,9,49,0
684,448,579,1,14,-0.4885
685,2254,466,9,25,-0.6954
686,1254,120,10,45,0.9201
687,2267,47,8,25,-0.9105
688,1617,408,1,38,-0.5106
689,1510,162,9,28,0.6077
690,1088,535,10,58,0.6978
691,2186,406,9,23,0.2732
692,2358,587,10,13,0.9016
693,1346,440,8,36,0.7891
694,641,42,10,25,0.7351
695,32,282,10,2,0.8505
696,861,441,8,8,0.8136
697,1645,564,8,18,0.3182
698,2041,120,10,21,-0.4926
699,310,47,10,7,0.8415
700,2068,121,10,3,-0.362
701,1287,121,9,2,-0.717
702,2349,167,10,20,0.4248
703,1451,456,10,2,-0.6133
704,1501,651,1,16,0.2537
705,528,47,2,0,0
706,769,175,10,7,-0.9007
707,752,155,8,15,-0.4588
708,527,439,8,5,0.9443
709,962,555,10,1,0.2732
710,57,47,10,15,0.8007
711,1616,121,1,8,0.3919
712,685,180,2,37,-0.5423
713,2103,121,8,1,0.875
714,1227,466,10,9,-0.9361
715,874,98,3,8,-0.7019
716,60,47,6,1,0.5859
717,888,121,1,11,-0.6908
718,885,121,7,0,0.2944
719,888,121,2,8,-0.17
720,129,90,10,22,0.6369
721,1894,345,10,63,0.2644
722,972,83,10,173,-0.9487
723,1681,121,2,7,-0.8966
724,1638,453,8,28,-0.0534
725,134,345,1,57,-0.1027
726,2391,201,3,61,-0.2964
727,1894,201,9,7,-0.5248
728,788,238,10,14,-0.024
729,2276,315,6,75,0
730,723,345,8,6,0.128
731,1580,430,5,30,-0.6494
732,885,121,7,8,0.4927
733,809,397,1,5,-0.8481
734,2485,397,8,0,-0.8481
735,1484,121,9,0,0.8707
736,387,440,10,28,0.7412
737,848,47,9,4,0.8745
738,1493,121,10,6,0.981
739,887,121,3,0,0.8885
740,1291,641,10,77,0.5106
741,1509,89,1,49,-0.7845
742,1506,121,1,5,0.204
743,1287,121,5,4,-0.96
744,705,47,9,65,-0.4767
745,1130,459,1,6,-0.7184
746,527,108,6,7,-0.3254
747,1287,121,6,6,-0.9022
748,1328,121,9,7,0.9252
749,585,121,9,2,0.8919
750,893,121,10,7,-0.7204
751,2478,579,10,62,0.7964
752,571,82,1,26,-0.8793
753,893,121,1,2,-0.269
754,1782,175,9,24,0
755,773,679,8,29,0.8689
756,2041,201,9,85,0.6369
757,2242,398,5,23,-0.7783
758,1776,665,10,22,0.8687
759,582,665,10,33,0.4359
760,893,121,7,3,-0.3844
761,2480,418,10,52,-0.0701
762,1795,238,10,25,0.4326
763,1288,121,3,4,0.2247
764,2340,535,9,33,-0.6742
765,1487,47,9,30,0.6249
766,823,212,9,12,-0.6249
767,540,82,9,47,0.2263
768,888,121,4,7,-0.9598
769,2319,466,8,22,-0.91
770,1624,355,10,80,0.7964
771,1825,547,9,11,-0.7184
772,1287,238,10,17,0.8085
773,2141,126,4,16,-0.1027
774,270,108,1,10,-0.9035
775,196,334,10,82,0.7845
776,2414,42,5,6,0.2732
777,1321,42,10,34,0.5807
778,1203,121,3,3,0.7712
779,2365,201,9,1,0.2263
780,1495,557,7,4,0.8813
781,887,121,8,3,0.7902
782,615,466,10,26,0.8002
783,270,134,10,36,0.4767
784,1441,466,10,91,0.4153
785,233,47,10,14,0.9708
786,762,47,4,2,-0.9386
787,599,304,10,24,0.1521
788,1991,345,1,68,-0.831
789,893,121,8,8,0.4404
790,604,121,9,3,0.5334
791,498,248,10,92,-0.9774
792,2126,256,9,0,0.93
793,801,445,1,12,-0.4215
794,888,121,10,3,0.9348
795,463,648,1,5,-0.4466
796,1470,651,2,2,0.0076
797,886,121,1,2,0.4404
798,155,646,1,28,-0.9849
799,893,121,1,1,-0.8578
800,2084,408,10,34,-0.8655
801,119,470,10,137,-0.7579
802,2298,212,2,11,0.4639
803,1683,121,10,6,0.6808
804,388,82,6,45,0.2023
805,762,47,10,11,0.1227
806,1416,679,7,29,-0.9688
807,1581,552,10,43,-0.4153
808,336,126,6,8,-0.8718
809,1846,470,4,8,0.7896
810,16,47,10,78,-0.6486
811,224,82,1,23,-0.915
812,1359,355,5,38,0
813,2103,121,9,9,0.5562
814,2344,298,9,8,-0.259
815,2247,303,5,60,-0.3818
816,2075,414,9,27,0.8442
817,1113,605,10,74,-0.1511
818,1429,637,8,11,0.4767
819,1678,440,1,18,-0.7037
820,392,466,10,30,0.6239
821,797,277,9,5,0.9421
822,1087,54,5,7,-0.5574
823,1320,440,10,19,-0.3382
824,762,121,1,5,-0.7003
825,716,95,10,68,0.7783
826,1254,120,10,8,0.25
827,1104,466,3,32,-0.7096
828,1389,126,10,22,0
829,2267,47,9,13,0.9708
830,1966,42,9,64,0.9118
831,1213,42,10,65,-0.5888
832,1230,120,10,81,0.7096
833,1878,83,9,68,0.8655
834,888,121,7,1,0.8045
835,2132,47,7,2,-0.8433
836,799,263,2,24,0.34
837,540,470,10,8,-0.4939
838,2381,466,9,134,0.296
839,2486,201,10,129,0
840,1389,126,2,7,0.785
841,2118,42,5,15,-0.079
842,916,495,8,2,0.8176
843,1927,106,1,30,-0.1531
844,893,121,5,2,-0.6705
845,1942,345,9,32,0.128
846,998,397,2,2,0.2263
847,1351,303,1,124,-0.5574
848,762,121,5,4,-0.9819
849,2044,121,10,1,0.6588
850,1846,201,8,81,-0.9401
851,1346,665,5,16,0.8803
852,2132,646,1,4,0.2263
853,1002,397,9,71,0.5974
854,773,466,9,20,-0.5423
855,2446,414,10,21,0.3182
856,669,201,1,35,-0.765
857,1116,82,7,129,-0.8883
858,1323,120,10,19,-0.885
859,182,121,2,0,-0.8719
860,1464,110,9,1,-0.5106
861,2512,238,9,10,0.8501
862,193,120,7,14,0.8689
863,1127,466,4,15,-0.9686
864,2103,121,5,2,0.1335
865,2099,145,3,20,-0.25
866,2179,160,10,36,0.9296
867,1287,238,1,5,0.8442
868,777,236,1,0,-0.4767
869,1344,345,8,74,0.8834
870,616,80,10,50,0.94
871,1587,121,8,0,0.5423
872,540,345,1,49,-0.8548
873,1936,304,1,59,-0.9365
874,735,175,5,5,-0.1027
875,518,134,10,18,0.0516
876,972,201,10,88,0.6882
877,2212,329,9,21,-0.2023
